序号,rms,flux_normalized,dominant_bins,centroid,low_high_ratio,peak_count,,,,,,,,,,,,,
138,74.77,0.94,52,1914.4,0.77,19,,,,,,,,,,,,,
139,124.13,2.29,56,2333.8,0.48,22,,,,,,,,,,,,,
140,112.14,1.59,78,2390.5,0.36,30,,,,,,,,,,,,,
141,103.4,1.43,37,2401.3,0.48,14,,,,,,,,,,,,,
142,108.43,1.49,59,1877.7,0.75,22,,,,,,,,,,,,,
143,151.72,2.61,63,1726.3,0.83,28,,,,,,,,,,,,,
144,218.41,7.65,67,1890.9,0.6,29,,,,,,,,,,,,,
145,235.59,7.64,86,1815.9,0.57,43,,,,,,,,,,,,,
146,251.06,8.46,65,1770.2,0.51,30,,,,,,,,,,,,,
147,243.19,5.23,80,1649.6,0.55,39,,,,,,,,,,,,,
148,172.22,7.31,79,1587,0.78,40,,,,,,,,,,,,,
149,223.99,5.54,85,1349.9,1.03,41,,,,,,,,,,,,,
150,217.62,6.53,71,1427.8,0.72,31,,,,,,,,,,,,,
151,201.69,6.53,65,1299,0.95,36,,,,,,,,,,,,,
152,217.45,6.86,76,1298.6,0.89,33,,,,,,,,,,,,,
153,169.42,3.88,93,1372.9,0.98,42,,,,,,,,,,,,,
154,201.87,7.14,68,1471,1.15,34,,,,,,,,,,,,,
155,185.44,8.56,83,1378.2,1.06,42,,,,,,,,,,,,,
156,140.89,3.44,89,1539.1,0.96,37,,,,,,,,,,,,,
157,123.13,2.9,78,1384.9,1.05,33,,,,,,,,,,,,,
158,137.27,2.64,62,1316.3,1.24,31,,,,,,,,,,,,,
159,188.91,4.41,21,1344.5,0.71,11,,,,,,,,,,,,,
160,102.57,6.11,73,1613.1,0.86,29,,,,,,,,,,,,,
161,170.58,7.15,51,1293.9,2.16,21,,,,,,,,,,,,,
162,118.73,1.58,60,1695.2,0.68,22,,,,,,,,,,,,,
163,157.53,7.09,32,1616.7,0.87,12,,,,,,,,,,,,,
164,150.27,2.51,24,1492.6,1.39,7,,,,,,,,,,,,,
165,126.61,2.85,85,2235.3,0.45,33,,,,,,,,,,,,,
166,130.36,2.16,35,2138.7,0.87,15,,,,,,,,,,,,,
167,297.91,11.5,55,1925.5,0.47,23,,,,,,,,,,,,,
168,140.84,12.21,91,2489.3,0.48,35,,,,,,,,,,,,,
169,152.59,3.86,145,2715.4,0.45,62,,,,,,,,,,,,,
170,203.16,5.18,117,2746,0.4,50,,,,,,,,,,,,,
171,257.28,7.92,241,2932.7,0.33,110,,,,,,,,,,,,,
172,542.12,40.64,214,2660.7,0.45,99,,,,,,,,,,,,,
173,337.35,20.53,143,2798.2,0.49,72,,,,,,,,,,,,,
174,233.31,12.27,194,3014,0.44,91,,,,,,,,,,,,,
175,251.32,10.89,161,3359.4,0.32,66,,,,,,,,,,,,,
176,1326.77,3637.9,111,2194.8,0.75,44,,,,,,,,,,,,,
177,127.16,9.81,75,1504.2,1.01,34,,,,,,,,,,,,,
178,169.04,3.91,50,1501.3,1.36,18,,,,,,,,,,,,,
179,224.01,8.4,93,1496.7,1.01,44,,,,,,,,,,,,,
180,189,13.47,49,1372.8,1.12,25,,,,,,,,,,,,,
181,180.2,4.95,89,1615.1,0.67,42,,,,,,,,,,,,,
182,129.35,5.39,81,1767.2,0.93,36,,,,,,,,,,,,,
183,250.9,8.33,32,1690.7,0.84,12,,,,,,,,,,,,,
184,192.46,9.02,88,1778.2,0.73,39,,,,,,,,,,,,,
185,115.13,3.25,82,1995.7,0.93,38,,,,,,,,,,,,,
186,84.33,0.7,92,2065.6,0.82,39,,,,,,,,,,,,,
187,103.91,0.94,45,2041.4,0.78,16,,,,,,,,,,,,,
188,130.38,2.03,90,2064.6,0.78,37,,,,,,,,,,,,,
189,227.32,6.6,46,2204.5,0.66,17,,,,,,,,,,,,,
190,201.55,6.44,96,2588.6,0.46,42,,,,,,,,,,,,,
191,281.96,7.62,64,2374.6,0.6,23,,,,,,,,,,,,,
192,280.69,18,174,2334,0.45,75,,,,,,,,,,,,,
193,1761.29,603.54,137,1909.6,0.7,45,,,,,,,,,,,,,
194,312.55,1222.27,67,2197.5,0.59,29,,,,,,,,,,,,,
195,240.05,13.93,93,2170.2,0.65,46,,,,,,,,,,,,,
196,96.67,1.39,54,2469.1,0.58,21,,,,,,,,,,,,,
197,193.6,4.29,212,2663.7,0.4,92,,,,,,,,,,,,,
198,222.58,5.92,223,2554.4,0.42,99,,,,,,,,,,,,,
199,220.6,6.21,121,2529.3,0.44,44,,,,,,,,,,,,,
200,248.72,8.37,80,2616.4,0.36,36,,,,,,,,,,,,,
201,198.97,10.38,145,2537.2,0.4,69,,,,,,,,,,,,,
202,225.56,6.07,56,2342.1,0.77,28,,,,,,,,,,,,,
203,310.29,19.68,84,2506.8,0.51,27,,,,,,,,,,,,,
204,319.75,15.99,94,2337.8,0.44,39,,,,,,,,,,,,,
205,270.83,11.52,140,2156.5,0.56,51,,,,,,,,,,,,,
206,213.28,11.86,222,2514.6,0.38,103,,,,,,,,,,,,,
207,210.28,8.53,93,2657.7,0.33,38,,,,,,,,,,,,,
208,224.86,4.49,67,2572.6,0.45,26,,,,,,,,,,,,,
209,181.75,3.98,107,2164.6,0.83,49,,,,,,,,,,,,,
210,247.99,10.75,83,1952.9,0.69,33,,,,,,,,,,,,,
211,320.62,18.22,71,2309.7,0.98,33,,,,,,,,,,,,,
212,373.44,22.49,70,1533.5,0.91,32,,,,,,,,,,,,,
213,199.54,8.87,44,1561.5,0.63,19,,,,,,,,,,,,,
214,119.15,2.07,174,2868.3,0.37,80,,,,,,,,,,,,,
215,108.01,1.37,66,2976.4,0.42,17,,,,,,,,,,,,,
216,453.4,39.32,222,2965.5,0.32,95,,,,,,,,,,,,,
217,124.18,2.34,138,3233.8,0.39,47,,,,,,,,,,,,,
218,98.91,2.36,27,3126.1,0.46,9,,,,,,,,,,,,,
219,75.71,0.88,149,2808.4,0.49,53,,,,,,,,,,,,,
220,110,1.6,49,2199.3,0.74,22,,,,,,,,,,,,,
221,101.1,1.79,55,2614.3,0.55,22,,,,,,,,,,,,,
222,84.66,0.84,63,2753.8,0.49,24,,,,,,,,,,,,,
223,58.59,0.88,45,2791.8,0.52,16,,,,,,,,,,,,,
224,57.04,0.57,62,2944.7,0.46,23,,,,,,,,,,,,,
225,76.74,0.74,68,3085.6,0.47,23,,,,,,,,,,,,,
226,96.6,1.77,80,2680.5,0.47,40,,,,,,,,,,,,,
227,169.38,3.68,189,2577.5,0.42,90,,,,,,,,,,,,,
228,173.52,3.74,120,2120.3,0.69,57,,,,,,,,,,,,,
229,142.4,3.51,78,1692.8,1.02,32,,,,,,,,,,,,,
230,196.96,3.85,34,1403.9,1.15,17,,,,,,,,,,,,,
231,146.63,5.07,93,2224.8,0.84,36,,,,,,,,,,,,,
232,111.23,3.65,61,3343.1,0.44,20,,,,,,,,,,,,,
233,101.48,1.61,24,2653.4,0.76,4,,,,,,,,,,,,,
234,72.03,1.44,34,3054.1,0.49,20,,,,,,,,,,,,,
235,166.3,4.52,40,1572.1,1.1,14,,,,,,,,,,,,,
236,150.47,5.41,37,2227,0.95,17,,,,,,,,,,,,,
237,133.5,4.32,64,1570.8,1.14,30,,,,,,,,,,,,,
238,137.32,3.5,40,1516.2,1.39,14,,,,,,,,,,,,,
239,65.25,1.01,131,2618.8,0.62,51,,,,,,,,,,,,,
240,179.32,4.6,74,1568.2,1.12,33,,,,,,,,,,,,,
241,250.65,9.67,29,1447.9,1.13,13,,,,,,,,,,,,,
242,134.58,10.22,136,2147.8,0.57,62,,,,,,,,,,,,,
243,128.98,2.2,60,1424.9,1.27,32,,,,,,,,,,,,,
244,350.36,26.15,248,3025.7,0.18,96,,,,,,,,,,,,,
245,156.49,26.65,48,1722.7,0.99,25,,,,,,,,,,,,,
246,221.74,8.74,37,1495.7,1.04,17,,,,,,,,,,,,,
247,208.68,8.34,60,1746.6,0.83,32,,,,,,,,,,,,,
248,139.77,4.45,79,1589.6,1.4,29,,,,,,,,,,,,,
249,77.08,2.6,65,1861.3,1.07,36,,,,,,,,,,,,,
250,191.1,4.62,80,1461.7,0.93,38,,,,,,,,,,,,,
251,118.69,4.51,40,1180,1.56,18,,,,,,,,,,,,,
252,172.61,4.29,63,1911.3,0.71,23,,,,,,,,,,,,,
253,324.58,19.68,42,1703,0.56,15,,,,,,,,,,,,,
254,324.38,20.61,41,1259.9,1.07,15,,,,,,,,,,,,,
255,398.27,21.65,57,1378.4,0.55,23,,,,,,,,,,,,,
256,200.07,10.5,70,2075.8,0.41,25,,,,,,,,,,,,,
257,225.4,10.95,106,3058.2,0.26,44,,,,,,,,,,,,,
258,246.68,9.9,115,3183.1,0.15,55,,,,,,,,,,,,,
259,107.68,1.92,219,2862.2,0.31,107,,,,,,,,,,,,,
260,93.03,1.3,187,2622.8,0.35,89,,,,,,,,,,,,,
261,132.21,2.14,217,2780,0.25,100,,,,,,,,,,,,,
262,114.63,3.94,46,2138.5,0.73,19,,,,,,,,,,,,,
263,94.76,1.08,154,2392.9,0.47,71,,,,,,,,,,,,,
264,104.14,1.25,132,2276.3,0.63,67,,,,,,,,,,,,,
265,97.08,1.2,52,1743.8,0.95,27,,,,,,,,,,,,,
266,134.22,7.34,74,1517.2,1.19,30,,,,,,,,,,,,,
267,151.73,3.96,50,1194.8,2.04,22,,,,,,,,,,,,,
268,183.03,6.22,28,1435.8,1.54,12,,,,,,,,,,,,,
269,192.86,6.97,123,2507.3,0.48,43,,,,,,,,,,,,,
270,95.91,5.16,67,1706.8,0.96,31,,,,,,,,,,,,,
271,73.15,0.71,106,2649.8,0.51,44,,,,,,,,,,,,,
272,94.52,1.54,45,2019.6,1.01,18,,,,,,,,,,,,,
273,132.9,2.5,19,2158.3,0.81,6,,,,,,,,,,,,,
274,176.9,3.86,56,1780.8,1.07,23,,,,,,,,,,,,,
275,231.78,11.18,32,1537.1,0.71,15,,,,,,,,,,,,,
276,165.31,3.77,74,1410,1.32,30,,,,,,,,,,,,,
277,162.96,4.84,78,1291.3,1.71,38,,,,,,,,,,,,,
278,155.64,4.33,60,1311.7,1.61,35,,,,,,,,,,,,,
279,193.6,6.17,44,1078,1.93,20,,,,,,,,,,,,,
280,159.96,1.93,54,1109.1,1.86,27,,,,,,,,,,,,,
281,95.69,1.29,23,1476.1,1.29,8,,,,,,,,,,,,,
282,82.74,2.07,41,1459.2,1.6,15,,,,,,,,,,,,,
283,192.18,6.4,67,1232,1.6,31,,,,,,,,,,,,,
284,253.53,10.62,22,1210.4,2.06,11,,,,,,,,,,,,,
285,63.78,0.42,54,1528.5,1.03,21,,,,,,,,,,,,,
286,148.48,3.45,62,1321.7,1.4,31,,,,,,,,,,,,,
287,164.6,3.37,58,951.3,1.99,24,,,,,,,,,,,,,
288,180.28,4.21,63,1166.5,1.57,30,,,,,,,,,,,,,
289,244.37,8.42,86,2179.3,0.69,44,,,,,,,,,,,,,
290,264.73,13.61,67,2176.7,0.74,26,,,,,,,,,,,,,
