序号,rms,flux_normalized,dominant_bins,centroid,low_high_ratio,peak_count,,,,,,,,,,,,,
271,355.83,19.01,65,1316.4,1.13,31,,,,,,,,,,,,,
272,416.96,23.41,62,1346.9,1.05,28,,,,,,,,,,,,,
273,428.26,53.04,57,1502.8,0.81,24,,,,,,,,,,,,,
274,408.12,9.35,54,1333,1.08,30,,,,,,,,,,,,,
275,345.09,20.86,76,1393.2,1.03,41,,,,,,,,,,,,,
276,284.26,12.66,59,1265.6,1.11,28,,,,,,,,,,,,,
277,378.05,24.87,46,1212.5,1.54,17,,,,,,,,,,,,,
278,562.36,46.78,25,947.4,1.67,19,,,,,,,,,,,,,
279,345.61,20.22,34,843.7,2.05,16,,,,,,,,,,,,,
280,425.27,22.99,67,1187.2,0.98,32,,,,,,,,,,,,,
281,433.43,22.81,33,1021.8,1.94,19,,,,,,,,,,,,,
282,476.75,29.45,53,1262.1,1.32,25,,,,,,,,,,,,,
283,441.16,20.21,48,1303.4,1.11,22,,,,,,,,,,,,,
284,457.01,18.3,54,1218.5,1.59,19,,,,,,,,,,,,,
285,408.18,13.97,49,1239.6,1.67,23,,,,,,,,,,,,,
286,310.28,20.02,46,1337.2,1.44,20,,,,,,,,,,,,,
287,228.17,11.49,51,1080.5,1.69,23,,,,,,,,,,,,,
288,559,37.61,38,1308.3,1.28,15,,,,,,,,,,,,,
289,444.18,21.23,49,893.9,2.29,22,,,,,,,,,,,,,
290,302.23,8.49,46,1411.9,1.32,23,,,,,,,,,,,,,
291,356.66,9.82,48,1263,1.36,22,,,,,,,,,,,,,
292,289.2,11.96,48,1146.6,1.54,25,,,,,,,,,,,,,
293,365.01,12.65,39,1410.8,1.35,18,,,,,,,,,,,,,
294,323.21,16.95,28,1176.4,1.88,11,,,,,,,,,,,,,
295,358.47,16.85,45,1237,1.22,19,,,,,,,,,,,,,
296,360.15,15.63,42,1268.3,1.64,23,,,,,,,,,,,,,
297,414.5,14.36,56,1348.1,1.26,25,,,,,,,,,,,,,
298,401.74,18.1,40,971.8,1.95,21,,,,,,,,,,,,,
299,455.08,12.75,42,940.8,1.92,24,,,,,,,,,,,,,
300,320.14,12.76,47,1369.1,1.33,27,,,,,,,,,,,,,
301,356.36,13.26,33,1126.6,1.24,11,,,,,,,,,,,,,
302,219.73,13.85,60,1348.2,1.1,31,,,,,,,,,,,,,
303,321.03,10.57,37,1318.3,0.87,16,,,,,,,,,,,,,
304,335.96,20.39,23,1193.5,0.99,7,,,,,,,,,,,,,
305,378.49,14.64,36,1304.5,0.97,10,,,,,,,,,,,,,
306,394.62,16.63,16,1363.8,0.68,8,,,,,,,,,,,,,
307,387.41,18.72,32,1499.3,0.73,13,,,,,,,,,,,,,
308,382.33,8.96,34,1322,0.9,16,,,,,,,,,,,,,
309,511.66,34.85,18,1525.6,0.57,7,,,,,,,,,,,,,
310,469.24,25.27,33,1421.3,0.69,11,,,,,,,,,,,,,
311,493.29,24.91,27,1240.4,0.73,12,,,,,,,,,,,,,
312,446.62,15.44,40,1394.8,0.64,16,,,,,,,,,,,,,
313,416.42,14.26,33,1479.5,0.7,17,,,,,,,,,,,,,
314,704.6,69.1,15,1264,0.61,5,,,,,,,,,,,,,
315,501.8,88.78,20,1377.3,0.76,8,,,,,,,,,,,,,
316,362.17,13.35,67,1477.5,1.25,27,,,,,,,,,,,,,
317,364.51,6.18,48,1101.8,1.45,25,,,,,,,,,,,,,
318,318.78,13.47,58,1492.8,1.23,28,,,,,,,,,,,,,
319,370.8,11.23,56,1317.1,1.53,27,,,,,,,,,,,,,
320,337.9,9.15,52,1342.5,1.55,26,,,,,,,,,,,,,
321,382.02,28.3,38,1070.8,1.69,21,,,,,,,,,,,,,
322,364.03,16.98,71,1168,1.28,32,,,,,,,,,,,,,
